.;Tour_1;%ins;%vot;.;Tour_2;%ins;%vot;;Candidat;Voix_T1;%_ins;%_exp;.;Voix_T2;%_ins;%_exp
Inscrits;46028542;;;;46066307;;;;Mme JOLY Eva;828345;1.8;2.31
Abstentions;9444143;20.52;;;9049998;19.65;;;Mme LE PEN Marine;6421426;13.95;17.9
Votants;36584399;79.48;;;37016309;80.35;;;M. SARKOZY Nicolas;9753629;21.19;27.18;;16860685;36.6;48.36
Blancs et nuls;701190;1.52;1.92;;2154956;4.68;5.82;;M. MÉLENCHON Jean-Luc;3984822;8.66;11.1
Exprimés;35883209;77.96;98.08;;34861353;75.68;94.18;;M. POUTOU Philippe;411160;0.89;1.15
;;;;;;;;;Mme ARTHAUD Nathalie;202548;0.44;0.56
;;;;;;;;;M. CHEMINADE Jacques;89545;0.19;0.25
;;;;;;;;;M. BAYROU François;3275122;7.12;9.13
;;;;;;;;;M. DUPONT-AIGNAN Nicolas;643907;1.4;1.79
;;;;;;;;;M. HOLLANDE François;10272705;22.32;28.63;;18000668;39.08;51.64
;;;;;;;;;;35883209;;;;34861353
